RM1,RM2,RT1,RT2,T,VM1,VM2,AM1,AM2
6693.62,8510.37,37620,10000,2.38,2801.54,-292.316,-11.1666,232.497
6721.63,8507.47,37610,10000,2.39,2801.43,-289.997,-11.1745,231.921
6749.64,8504.6,37600,10000,2.4,2801.32,-287.683,-11.1823,231.346
6777.66,8501.74,37590,10000,2.41,2801.21,-285.376,-11.1898,230.772
6805.67,8498.91,37580,10000,2.42,2801.09,-283.074,-11.1971,230.199
6833.68,8496.1,37570,10000,2.43,2800.98,-280.777,-11.2042,229.627
6861.68,8493.32,37560,10000,2.44,2800.87,-278.487,-11.2111,229.055
6889.69,8490.56,37550,10000,2.45,2800.76,-276.202,-11.2177,228.484
6917.7,8487.82,37540,10000,2.46,2800.65,-273.923,-11.2241,227.914
6945.7,8485.1,37530,10000,2.47,2800.53,-271.649,-11.2303,227.344
6973.71,8482.41,37520,10000,2.48,2800.42,-269.382,-11.2363,226.776
7001.71,8479.74,37510,10000,2.49,2800.31,-267.12,-11.2421,226.208
7029.71,8477.09,37500,10000,2.5,2800.2,-264.863,-11.2476,225.64
7057.71,8474.46,37490,10000,2.51,2800.08,-262.612,-11.253,225.074
7085.71,8471.86,37480,10000,2.52,2799.97,-260.367,-11.2581,224.508
7113.71,8469.28,37470,10000,2.53,2799.86,-258.128,-11.263,223.944
7141.71,8466.72,37460,10000,2.54,2799.75,-255.894,-11.2677,223.379
7169.71,8464.18,37450,10000,2.55,2799.63,-253.666,-11.2722,222.816
7197.7,8461.67,37440,10000,2.56,2799.52,-251.443,-11.2764,222.253
7225.7,8459.17,37430,10000,2.57,2799.41,-249.226,-11.2805,221.692
7253.69,8456.7,37420,10000,2.58,2799.29,-247.015,-11.2844,221.131
7281.68,8454.26,37410,10000,2.59,2799.18,-244.809,-11.288,220.57
7309.67,8451.83,37400,10000,2.6,2799.07,-242.609,-11.2915,220.011
7337.66,8449.43,37390,10000,2.61,2798.96,-240.415,-11.2947,219.452
7365.65,8447.04,37380,10000,2.62,2798.84,-238.226,-11.2978,218.894
7393.64,8444.68,37370,10000,2.63,2798.73,-236.043,-11.3006,218.336
7421.62,8442.34,37360,10000,2.64,2798.62,-233.865,-11.3032,217.78
7449.61,8440.03,37350,10000,2.65,2798.5,-231.692,-11.3057,217.224
7477.59,8437.73,37340,10000,2.66,2798.39,-229.526,-11.3079,216.669
7505.57,8435.46,37330,10000,2.67,2798.28,-227.365,-11.3099,216.115
7533.56,8433.21,37320,10000,2.68,2798.16,-225.209,-11.3118,215.561
7561.54,8430.98,37310,10000,2.69,2798.05,-223.059,-11.3134,215.008
7589.52,8428.77,37300,10000,2.7,2797.94,-220.914,-11.3149,214.456
7617.49,8426.58,37290,10000,2.71,2797.82,-218.775,-11.3161,213.905
7645.47,8424.41,37280,10000,2.72,2797.71,-216.642,-11.3172,213.355
7673.45,8422.27,37270,10000,2.73,2797.6,-214.514,-11.3181,212.805
